事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
榆辽战役,,,1940年9月-1940年10月,山西,战役事件,,,,,,,,,,,
华中新四军八路军总指挥部成立,,华中新四军八路军总指挥部在苏北海安成立，叶挺任总指挥，刘少奇任政治委员，陈毅任副总指挥（在叶挺抵达前代理总指挥）。到年底，新四军在两年多的敌后游击战中，共对日、伪军作战2700多次，毙伤俘敌5.5万人，在华中建立了皖东、豫皖苏、皖东北、苏北等抗日根据地，扩大了苏南、皖中抗日根据地，沟通了华北与华中抗日根据地的联系，主力部队发展到近9万人，地方武装和不脱产的地方武装数十万人。,1940年11月17日,江苏,成立事件,"叶挺,刘少奇,陈毅",,,,,,,,,,
皖南事变,,新四军军部及所属皖南部队9000余人，在遵照国民党军事当局的命令向北转移途中遭到国民党军8万余人的伏击和围攻，大部壮烈牺牲或被俘，军长叶挺被扣押，副军长项英遇害，这就是皖南事变。事变发生后，蒋介石诬称新四军“叛变”，宣布取消其番号。中国共产党采取军事上严守自卫、政治上坚决反击的方针。中央军委于1月20日发布重建新四军军部的命令，陈毅任代军长，刘少奇任政治委员。到3月，国民党顽固派的第二次反共高潮被击退。,1941年1月,安徽,战役事件,"叶挺,项英,上官云相",,,,,,,,,,
《陕甘宁边区施政纲领》发表,,经中共中央批准的《陕甘宁边区施政纲领》正式发表。11月，陕甘宁边区第二届参议会召开，通过《陕甘宁边区保障人权财权条例》，开明绅士李鼎铭被选为边区政府副主席。,1941年5月1日,,文献事件,,,,,,,,,,,
陕甘宁边区第二届参议会召开,,经中共中央批准的《陕甘宁边区施政纲领》正式发表。12月，陕甘宁边区第二届参议会召开，通过《陕甘宁边区保障人权财权条例》，开明绅士李鼎铭被选为边区政府副主席。,1941年11月,陕西,会议事件,李鼎铭,,,,,,,,,,
太平洋战争,,太平洋战争爆发第二天，中国共产党发表宣言，倡导建立太平洋一切抗日民族的统一战线。1942年1月1日，中、美、英、苏等26国签署《联合国家宣言》，国际反法西斯统一战线正式形成。,1941年12月7日 -1945年8月15日,,战役事件,,,,,,,,,,,
26国签署《联合国家宣言》,,太平洋战争爆发第二天，中国共产党发表宣言，倡导建立太平洋一切抗日民族的统一战线。1942年1月1日，中、美、英、苏等26国签署《联合国家宣言》，国际反法西斯统一战线正式形成。,1942年1月1日,,文献事件,,,国际反法西斯统一战线,,,,,,,,
《关于统一抗日根据地党的领导及调整各组织间关系的决定》,,中央政治局通过《关于统一抗日根据地党的领导及调整各组织间关系的决定》，规定抗日根据地实行党的一元化领导，中央代表机关及各级党委为各地区的最高领导机关。,1942年9月1日,,文献事件,,中央政治局,,,,,,,,,
《关于拥护军队的决定》,,1月15日 陕甘宁边区政府作出《关于拥护军队的决定》。25日，八路军留守兵团司令部、政治部作出《关于拥护政府爱护人民的决定》。在中共中央领导下，陕甘宁边区开展了声势浩大的双拥（拥军优属、拥政爱民）群众运动。,1943年1月15日,,文献事件,,陕甘宁边区政府,,,,,,,,,
《关于拥护政府爱护人民的决定》,,1月15日 陕甘宁边区政府作出《关于拥护军队的决定》。26日，八路军留守兵团司令部、政治部作出《关于拥护政府爱护人民的决定》。在中共中央领导下，陕甘宁边区开展了声势浩大的双拥（拥军优属、拥政爱民）群众运动。,1943年1月25日,,文献事件,,,,,,,,,,,
《关于中央机构调整及精简的决定》,,中央政治局会议通过《关于中央机构调整及精简的决定》，推定毛泽东为中央政治局主席，并决定毛泽东为中央书记处主席；中央书记处由毛泽东、刘少奇、任弼时组成；刘少奇参加中共中央军委并任军委副主席。,1943年3月20日,,文献事件,"毛泽东,刘少奇,任弼时",中央政治局,,,,,,,,,
中共扩大的六届七中全会召开,,全会通过毛泽东为中央委员会主席的提议，原则通过《关于若干历史问题的决议》，肯定了确立毛泽东在全党的领导地位的重大意义，使全党尤其是党的高级干部对中国民主革命基本问题的认识达到在马克思列宁主义基础上的一致。至此，整风运动胜利结束。整风运动是一次深刻的马克思主义思想教育运动，收到巨大成效。通过整风运动，实现了在以毛泽东同志为核心的党中央领导下全党新的团结和统一，为抗日战争的胜利和新民主主义革命在全国的胜利，奠定了重要的思想政治基础。延安整风运动所积累的经验对党的建设具有重大而深远的意义。,1944年5月21日－1945年4月20日,陕西,会议事件,毛泽东,,,,,,,,,,
中国共产党第七次全国代表大会召开,,出席大会的正式代表547人，候补代表208人，代表全国121万党员。毛泽东致开幕词，向大会提交《论联合政府》政治报告并作口头报告，朱德作《论解放区战场》军事报告，刘少奇作《关于修改党章的报告》，周恩来作《论统一战线》发言。大会提出党的政治路线，把党在长期奋斗中形成的优良作风概括为三大作风。七大是党在新民主主义革命时期召开的一次极其重要的全国代表大会，以“团结的大会，胜利的大会”载入党的史册。大会选举产生新的中央委员会。大会把毛泽东思想确立为全党的指导思想并载入党章。,1945年4月23日－1945年6月11日,陕西,会议事件,"毛泽东,周恩来,朱德,刘少奇",,,,,,,,,,
《对日寇的最后一战》,,毛泽东发表《对日寇的最后一战》的声明。随后，朱德发布七道全面反攻命令。中国抗日战争进入全面反攻阶段。,1945年8月9日,,文献事件,毛泽东,,,,,,,,,,
《终战诏书》发布,,日本天皇裕仁以广播形式发布《终战诏书》。日本无条件投降。,1945年8月15日,,文献事件,,,,,,,,,,,
和平谈判,毛泽东、周恩来、王若飞赴重庆与国民党代表进行和平谈判（重庆谈判）。,重庆谈判,1945年8月28日,重庆,访问事件,"毛泽东,周恩来,王若飞",国民党,,,,,,,,,
国共双方签署《政府与中共代表会谈纪要》,双十协定,以毛泽东为首的中国共产党代表团与国民党政府代表在重庆举行谈判，经过43天的谈判，在10月10日签署《政府与中共代表会谈纪要》，即《双十协定》。 该会谈纪要列入关于和平建国的基本方针、政治民主化、国民大会、人民自由、党派合法化、特务机关、释放政治犯、地方自治、军队国家化、解放区地方政府、奸伪、受降12个问题。这12个问题中仅少数几条达成协议，在军队、解放区政权两个根本问题上没有达成协议。,1945年10月10日,重庆,文献事件,"毛泽东,周恩来,王若飞","共产党,国民党",,,,,,,,,
中共晋冀鲁豫中央局成立,,中共晋冀鲁豫中央局成立。解放战争时期，中共中央还成立（或重新成立）了晋察冀中央局、冀热辽分局、冀察热辽分局、东北局、北满分局、西满分局、辽东（南满）分局、东满分局、华东局、华中分局、华中工委、山东分局、鄂豫皖中央局、中原局、豫皖苏分局、华中局、华北局、南方工委、重庆（南方）局、南京局、上海分局、上海局、香港分局、华南分局；西北局、晋绥分局的组织机构继续保持。,1945年8月,,成立事件,,,,,,,,,,,
日本代表在投降书上签字,,侵华日军128万人向中国投降。至此，中国抗日战争胜利结束，世界反法西斯战争也胜利结束。9月3日成为中国人民抗日战争胜利纪念日。10月25日，中国政府在台湾举行受降仪式。被日本占领50年之久的台湾以及澎湖列岛，重归中国主权管辖之下。中国人民抗日战争是近代以来中国人民反抗外敌入侵持续时间最长、规模最大、牺牲最多的民族解放斗争，也是第一次取得完全胜利的民族解放斗争。中国人民抗日战争的胜利，成为中华民族走向复兴的历史转折点，也对世界文明进步具有重大而深远的意义。中国人民在抗日战争中付出了巨大的民族牺牲。据不完全统计，战争期间中国军民伤亡3500多万人；按1937年的比值折算，中国直接经济损失1000多亿美元，间接经济损失5000多亿美元。中国共产党在全民族抗战中发挥了中流砥柱作用。这是中国人民抗日战争取得完全胜利的决定性因素。八路军、新四军和其他人民抗日武装对敌作战12.5万余次，钳制和歼灭日军大量兵力，歼灭大部分伪军，敌后战场逐渐成为中国人民抗日战争的主战场。到抗战结束时，人民军队发展到约132万人，民兵发展到260余万人；中国共产党领导的抗日民主根据地即解放区已有19块，面积达到近100万平方公里，人口近1亿。中国共产党在全国社会政治生活中所占的比重，和抗日战争前相比大大增加。这为在取得中国人民抗日战争伟大胜利基础上，最终取得新民主主义革命胜利，创造了前所未有的有利条件。中国人民在抗日战争的壮阔进程中孕育出伟大抗战精神，向世界展示了天下兴亡、匹夫有责的爱国情怀，视死如归、宁死不屈的民族气节，不畏强暴、血战到底的英雄气概，百折不挠、坚忍不拔的必胜信念。,1945年9月2日,,访问事件,,,,,,,,,,,
“向北发展，向南防御”的战略方针,,中共中央提出“向北发展，向南防御”的战略方针，强调全党全军目前的主要任务是完全控制热河、察哈尔两省，发展东北力量并争取控制东北。为此，派出2万名干部和11万人的军队进入东北，包括10名中央委员、10名中央候补委员。,1945年9月19日,,决策事件,,中共中央,,,,,,,,,
《关于扩兵与编组野战军的指示》,,中央书记处发出《关于扩兵与编组野战军的指示》。通过编组野战军或野战兵团，从组织体制上完成了由游击战向运动战的战略转变。,1945年9月21日,,文献事件,,中央书记处,,,,,,,,,
国共双方达成关于停止国内军事冲突的协定,,国共双方达成关于停止国内军事冲突的协定。10日，双方下达停战令。,1946年1月5日,,访问事件,,"共产党,国民党",,,,,,,,,
政治协商会议召开,,政治协商会议在重庆召开。国民党、共产党、民主同盟、青年党和无党派人士代表参加，通过政府组织案、国民大会案、和平建国纲领、军事问题案、宪法草案案五项协议。,1946年1月10日－1946年1月31日,重庆,会议事件,,"国民党,共产党,民主同盟,青年党",,,,,,,,,
《关于土地问题的指示》,五四指示,中共中央作出《关于土地问题的指示》（五四指示），将全民族抗战时期的减租减息改变为“耕者有其田”政策，并指出解决解放区的土地问题是党目前最基本的历史任务。各解放区迅速开展土地改革运动。,1946年5月4日,,文献事件,,中共中央,“耕者有其田”政策,,,,,,,,
国民党撕毁停战协定和政协协议,,,1946年6月26日,,访问事件,,国民党,,,,,,,,,
全面内战爆发,,国民党撕毁停战协定和政协协议，以22万人悍然进攻中原解放区。其后，国民党军向其他解放区展开大规模进攻。全面内战由此爆发。,1946年6月26日,,战役事件,蒋介石,国民党,,,,,,,,,
《以自卫战争粉碎蒋介石的进攻》发表,,,1946年7月20日,,文献事件,,中共中央,,,,,,,,,
1947年中央政治局会议召开,,中央政治局会议在陕北清涧枣林沟召开，讨论中央机关行动问题。不久，中央机关分为三部分，由刘少奇、朱德等组成中央工作委员会，到华北进行中央委托的工作；毛泽东、周恩来、任弼时率中央和人民解放军总部的精干机关，继续留在陕北，指挥全国各战场作战；叶剑英、杨尚昆主持的中央后方委员会，转移到晋西北统筹后方工作。,1947年3月29日－1947年3月30日,陕西,会议事件,"刘少奇,朱德,毛泽东,周恩来,任弼时,叶剑英,杨尚昆",,,,,,,,,,
内蒙古自治政府成立,,内蒙古自治政府正式成立，乌兰夫为政府主席。这是中国共产党领导的第一个省级少数民族自治政府。,1947年5月1日,内蒙古,成立事件,乌兰夫,,,,,,,,,,
挽救教育危机联合大游行,,南京、上海、苏州、杭州学生5000余名走上南京街头，举行“挽救教育危机联合大游行”，高呼“反饥饿”、“反内战”等口号，遭到反动当局镇压。,1947年5月20日,南京,运动事件,,,“反饥饿”、“反内战”,,,,,,,,
“反饥饿”、“反内战”示威大游行,五二〇运动,北平7000余名学生也举行了“反饥饿”、“反内战”示威大游行（五二〇运动）。学生运动的高涨促进了整个人民运动的高涨。1947年，全国20多个大中城市中先后有300余万工人罢工。在农村，广大农民反抗抓丁、征粮和征税。在共产党领导和推动下，以学生为先锋的爱国民主运动同国民党政府之间的斗争，逐步形成配合人民解放战争的第二条战线。,,,运动事件,,,“反饥饿”、“反内战”,,,,,,,,
全国土地会议召开,,全国土地会议在河北建屏西柏坡（今属平山）召开。会议由刘少奇主持，制定《中国土地法大纲》。,1947年7月17日－1947年9月13日,河北,会议事件,,,,,,,,,,,
《中国土地法大纲》发布,,《中国土地法大纲》是一个彻底反封建的土地革命纲领。它规定：“废除封建性及半封建性剥削的土地制度，实行耕者有其田的土地制度。”大纲公布后，解放区迅速形成土地改革热潮。,1947年10月10日,,文献事件,,,,,,,,,,,
中央十二月会议,,中共中央在陕北米脂杨家沟召开扩大会议（十二月会议）。会议通过毛泽东提交的《目前形势和我们的任务》书面报告。报告阐明党的最基本的政治纲领和新民主主义革命的三大经济纲领，提出十大军事原则。,1947年12月25日－1947年12月28日,陕西,会议事件,,,,,,,,,,,
《目前形势和我们的任务》,,中共中央在陕北米脂杨家沟召开扩大会议（十二月会议）。会议通过毛泽东提交的《目前形势和我们的任务》书面报告。报告阐明党的最基本的政治纲领和新民主主义革命的三大经济纲领，提出十大军事原则。,1947年12月25日－1947年12月29日,,文献事件,毛泽东,,最基本的政治纲领、新民主主义革命的三大经济纲领、十大军事原则,,,,,,,,
华北人民政府成立,,9月26日，华北人民政府正式成立，董必武任主席。,1948年9月26日,,成立事件,董必武,,,,,,,,,,
《人民日报》创刊,,《人民日报》创刊。1949年8月正式成为中共中央机关报。,1948年6月,,成立事件,,,,,,,,,,,
中央政治局扩大会议（西柏坡）,,中央政治局扩大会议在西柏坡召开。会议提出建设500万解放军，用五年左右时间（从1946年7月算起）从根本上打倒国民党反动统治的战略任务。,1948年9月8日－1948年9月13日,河北,会议事件,,,,,,,,,,,
辽沈战役,,林彪、罗荣桓率东北野战军主力和地方武装进行辽沈战役。东北全境解放。到11月，解放军的总兵力增加到310万人，国民党军队的总兵力下降到290万人。从此，解放军不但在质量上占有优势，而且在数量上也取得优势。中国人民革命的军事形势达到一个新的转折点。,1948年9月12日－1948年11月2日,"吉林,辽宁",战役事件,"林彪,罗荣桓,毛泽东,朱德",东北野战军,,,,,,,,,
济南战役,,华东野战军进行济南战役，解放济南。,1948年9月16日－1948年9月24日,,战役事件,,华东野战军,,,,,,,,,
中华全国民主妇女联合会成立,,,1949年,,成立事件,,中华全国民主妇女联合会,,,,,,,,,
中华全国文学艺术界联合会成立,,,1949年7月,,成立事件,,中华全国文学艺术界联合会,,,,,,,,,
《关于统一全军组织及部队番号的规定》,,中央军委发出《关于统一全军组织及部队番号的规定》，要求团和分区以上各部队番号均冠以“中国人民解放军”字样。,1948年11月1日,,文献事件,,中央军委,,,,,,,,,
淮海战役,,由刘伯承、陈毅、邓小平、粟裕、谭震林组成，以邓小平为书记的总前敌委员会，率华东野战军和中原野战军及部分地方武装进行淮海战役。长江中下游以北广大地区解放。,1948年11月6日－1949年1月10日,"安徽,江苏",战役事件,"周恩来,毛泽东,刘伯承,陈毅,邓小平,粟裕,谭震林,朱德","华东野战军,中原野战军",,,,,,,,,
平津战役,,林彪、罗荣桓、聂荣臻等率东北野战军和华北军区第二、第三兵团以及华北、东北军区地方部队进行平津战役。华北全境基本解放。其间，1949年1月31日北平和平解放。辽沈、淮海、平津三大战役，是解放军与国民党军主力进行的战略决战，共歼敌154万余人。至此，蒋介石赖以维护其统治的主要军事力量被基本消灭，解放军进抵长江，全国处于革命胜利的前夜。,1948年11月29日－1949年1月31日,"河北,北京,天津",战役事件,"林彪,罗荣桓,聂荣臻,毛泽东","东北野战军,华北野战军",,,,,,,,,
中国人民银行成立,,中国人民银行成立并发行人民币。,1948年12月1日,,成立事件,,,,,,,,,,,
中共七届二中全会召开,,中共七届二中全会在西柏坡召开。全会规定党在全国胜利后在政治、经济、外交方面应当采取的基本政策，指出中国由农业国转变为工业国、由新民主主义社会转变为社会主义社会的发展方向。全会讨论确定了党的工作重心由乡村转移到城市的问题。毛泽东在全会上提出“两个务必”思想，即：“务必使同志们继续地保持谦虚、谨慎、不骄、不躁的作风，务必使同志们继续地保持艰苦奋斗的作风。”,1949年3月5日－1949年3月13日,河北,会议事件,毛泽东,,“两个务必”思想,,,,,,,,
国共北平谈判,,以周恩来为首的中共代表团同国民党政府代表团在北平进行和平谈判。经过协商，中共代表团于15日提出《国内和平协定》（最后修正案），并宣布4月20日为最后签字时间。国民党政府拒绝接受。解放军遂发起渡江战役，国民党政府“划江而治”的图谋破产。,1949年4月1日,北京,访问事件,,,,,,,,,,,
渡江战役,,以周恩来为首的中共代表团同国民党政府代表团在北平进行和平谈判。经过协商，中共代表团于15日提出《国内和平协定》（最后修正案），并宣布4月21日为最后签字时间。国民党政府拒绝接受。解放军遂发起渡江战役，国民党政府“划江而治”的图谋破产。,1949年4月20日 - 1949年6月2日,"江苏,安徽,江西",战役事件,"毛泽东,朱德,刘伯承,粟裕,蒋介石,李宗仁,汤恩伯,白崇禧,邓小平","人民解放军,国民党军",,,,,,,,,
《向全国进军的命令》,,毛泽东、朱德发布《向全国进军的命令》。20日夜至21日，由刘伯承、陈毅、邓小平、粟裕、谭震林组成的总前敌委员会（邓小平为书记）指挥的第二、第三野战军，在第四野战军先遣兵团和中原军区部队配合下，发起渡江战役。百万雄师强渡长江。23日解放南京，延续22年的国民党统治宣告覆灭。5月27日解放上海。第四野战军先遣兵团于5月横渡长江，解放武汉三镇。随后，解放军各路大军继续向东南、中南、西北、西南进军。,1949年4月21日,,文献事件,"毛泽东,朱德",,,,,,,,,,
《论人民民主专政》,,毛泽东发表《论人民民主专政》一文，公开阐明中国共产党在建立新中国问题上的主张，指出人民民主专政需要工人阶级的领导。,1949年6月30日,,文献事件,,,,,,,,,,,
刘少奇率中共代表团秘密访问苏联,,刘少奇率中共代表团秘密访问苏联，会见联共（布）领导人斯大林、莫洛托夫、马林科夫、米高扬等，向联共（布）中央通报中国革命战争即将取得胜利并将召开新的政治协商会议，成立联合政府。双方就将来的外交关系、苏联对中国经济和国防建设的援助等问题交换意见，初步达成部分协议。,1949年6月－1949年8月,,访问事件,刘少奇,,,,,,,,,,
《丢掉幻想，准备斗争》等五篇评论发表,,毛泽东连续为新华社撰写《丢掉幻想，准备斗争》等五篇评论，揭露美国对华政策的帝国主义本质，批评国内一部分人对帝国主义不切实际的幻想，并对中国革命的发生和胜利的原因作理论上的说明。,1949年8月14日－1949年9月16日,,文献事件,毛泽东,,,,,,,,,,
宁夏战役,,解放战争时期中国人民解放军解放宁夏的战役。1949年9月，解放军第一野战军第十九兵团及西北军区独立第一、第二师向宁夏进军。沿途相继解放了靖远．中宁等县。大军压境，迫使国民党政府军骑兵第一旅投降，第八十一军接受和平改编。9月21日，解放军在金积（今分属青铜峡，吴忠两县）、灵武地区又围歼了马鸿逵主力第一二八军，于23日解放银川。敌十一军。贺兰军（地方部队）全部投降。此役，共歼灭和改编了国民党政府军4万余人，解放了宁夏全境。,1949年9月,宁夏,战役事件,,,,,,,,,,,
中国人民政治协商会议第一届全体会议,,中国人民政治协商会议第一届全体会议在北平举行。出席会议的代表共662人。会议通过起临时宪法作用的《中国人民政治协商会议共同纲领》以及《中国人民政治协商会议组织法》、《中华人民共和国中央人民政府组织法》等文件。会议决定国都定于北平，北平改名为北京；纪年采用公元；以《义勇军进行曲》为代国歌；国旗为五星红旗。会议选举出中央人民政府委员会，毛泽东为中央人民政府主席，朱德、刘少奇、宋庆龄、李济深、张澜、高岗为副主席。中国人民政治协商会议的举行，标志着一百多年来中国人民争取民族独立和人民解放运动取得了历史性的伟大胜利，标志着爱国统一战线和全国人民大团结在组织上完全形成，标志着中国共产党领导的多党合作和政治协商制度正式确立。毛泽东在开幕词中向全世界宣告：“占人类总数四分之一的中国人从此站立起来了。”,1949年9月21日－1949年9月30日,北京,会议事件,"毛泽东,朱德,刘少奇,宋庆龄",,,,,,,,,,
中华人民共和国中央人民政府成立,,中华人民共和国中央人民政府成立。下午2时，中央人民政府委员会召开第一次会议，一致决议接受《共同纲领》为施政纲领，任命周恩来为中央人民政府政务院总理兼外交部部长，毛泽东为人民革命军事委员会主席，朱德为人民解放军总司令。下午3时，庆祝中华人民共和国中央人民政府成立典礼在北京天安门广场隆重举行。毛泽东宣告中央人民政府成立。之后，举行盛大阅兵仪式和群众游行。12月2日，中央人民政府委员会第四次会议决定，每年的10月1日为中华人民共和国国庆日。中华人民共和国的成立，彻底结束了旧中国半殖民地半封建社会的历史，彻底结束了旧中国一盘散沙的局面，彻底废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权，实现了中国从几千年封建专制政治向人民民主的伟大飞跃，实现了中国高度统一和各民族空前团结，中华民族发展进步从此开启新纪元。中国共产党成为在全国范围执掌政权的党。,1949年10月1日,北京,成立事件,,,,,,,,,,,
中央人民政府委员会第一次会议,,中华人民共和国中央人民政府成立。下午2时，中央人民政府委员会召开第一次会议，一致决议接受《共同纲领》为施政纲领，任命周恩来为中央人民政府政务院总理兼外交部部长，毛泽东为人民革命军事委员会主席，朱德为人民解放军总司令。下午3时，庆祝中华人民共和国中央人民政府成立典礼在北京天安门广场隆重举行。毛泽东宣告中央人民政府成立。之后，举行盛大阅兵仪式和群众游行。12月2日，中央人民政府委员会第四次会议决定，每年的10月2日为中华人民共和国国庆日。中华人民共和国的成立，彻底结束了旧中国半殖民地半封建社会的历史，彻底结束了旧中国一盘散沙的局面，彻底废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权，实现了中国从几千年封建专制政治向人民民主的伟大飞跃，实现了中国高度统一和各民族空前团结，中华民族发展进步从此开启新纪元。中国共产党成为在全国范围执掌政权的党。,1949年10月1日,北京,会议事件,"毛泽东,朱德,周恩来",,,,,,,,,,
中国人民政治协商会议第一届全国委员会第一次会议,,中国人民政治协商会议第一届全国委员会第一次会议举行。会议选举毛泽东为政协第一届全国委员会主席。,1949年10月9日,,会议事件,,,,,,,,,,,
中央人民政府政务院成立,,,1949年10月21日,,成立事件,,,,,,,,,,,
中央人民政府海关总署成立,,,1949年10月25日,,成立事件,,,,,,,,,,,
《关于在中央人民政府内组织中国共产党党委会的决定》,,中共中央作出《关于在中央人民政府内组织中国共产党党委会的决定》和《关于在中央人民政府内建立中国共产党党组的决定》。各级政府机关普遍建立党的组织，加强党的领导。,1949年11月9日,,文献事件,,,,,,,,,,,
《关于在中央人民政府内建立中国共产党党组的决定》,,中共中央作出《关于在中央人民政府内组织中国共产党党委会的决定》和《关于在中央人民政府内建立中国共产党党组的决定》。各级政府机关普遍建立党的组织，加强党的领导。,1949年11月9日,,文献事件,,,,,,,,,,,
中国人民解放军空军领导机构成立,,中国人民解放军空军领导机构成立。在此前后，海军、炮兵等军兵种部队及领导机构成立。,1949年11月11日,,成立事件,,,,,,,,,,,
海军、炮兵等军兵种部队及领导机构成立,,中国人民解放军空军领导机构成立。在此前后，海军、炮兵等军兵种部队及领导机构成立。,1949年11月,,成立事件,,,,,,,,,,,
《关于严禁鸦片烟毒的通令》,,政务院发布《关于严禁鸦片烟毒的通令》，禁止贩运制造及售卖、吸食烟毒。人民政府还开展了严禁赌博的斗争。经过三年左右的努力，曾在旧中国屡禁不止的娼、毒、赌等社会顽疾基本禁绝。,1950年2月24日,,文献事件,,,,,,,,,,,
第一次全国教育工作会议召开,,会议提出教育必须为国家建设服务，学校必须为工农开门。1950年9月，第一次全国工农教育会议召开，提出“推行识字教育，逐步减少文盲”的口号。1952年11月，中央人民政府扫除文盲工作委员会成立。群众性的扫盲运动有计划、有步骤地在全国大规模展开。,1949年12月23日－1949年12月31日,,会议事件,,,,,,,,,,,
毛泽东访问苏联,,2月14日 中国同苏联签订《中苏友好同盟互助条约》及有关协定。1949年12月至1950年2月，毛泽东对苏联进行为期两个多月的访问。,1949年12月-1950年2月,,访问事件,,,,,,,,,,,
《关于统一国家财政经济工作的决定》,,政务院作出《关于统一国家财政经济工作的决定》，以遏制通货膨胀，稳定物价，实现国家财政收支平衡。,1950年3月3日,,文献事件,,,,,,,,,,,
《关于在全党全军开展整风运动的指示》,,全党开展以提高干部和一般党员的思想水平和政治水平，克服工作中所犯的错误，克服居功自傲和官僚主义、命令主义，改善党和人民的关系为主要任务的整风运动。年底，整风运动结束。,1950年5月1日,,文献事件,,,,,,,,,,,
《中华人民共和国婚姻法》,,新中国成立后制定的第一部法律——《中华人民共和国婚姻法》公布施行，规定实行男女婚姻自由、一夫一妻、男女权利平等、保护妇女和子女合法利益的新婚姻制度。,1950年5月1日,,文献事件,,,,,,,,,,,
中共七届三中全会召开,,中共七届三中全会召开。毛泽东提交《为争取国家财政经济状况的基本好转而斗争》书面报告，并发表《不要四面出击》讲话。,1950年6月6日－1950年6月9日,,会议事件,毛泽东,,,,,,,,,,
第一届全国卫生会议召开,,第一届全国卫生会议召开。会议确定“面向工农兵”、“预防为主”、“团结中西医”为新中国卫生工作三大原则。,1950年8月7日－1950年8月19日,,会议事件,,,会议确定“面向工农兵”、“预防为主”、“团结中西医”为新中国卫生工作三大原则,,,,,,,,
抗美援朝、保家卫国的战略决策,,应朝鲜党和政府的请求，中共中央作出抗美援朝、保家卫国的战略决策。,1950年10月,,决策事件,,,,,,,,,,,
抗美援朝运动,,25日，志愿军与敌军遭遇，打响出国作战的第一次战役。全国掀起大规模抗美援朝运动。抗美援朝战争伟大胜利，是中国人民站起来后屹立于世界东方的宣言书，是中华民族走向伟大复兴的重要里程碑。抗美援朝战争中，英雄的中国人民志愿军始终发扬祖国和人民利益高于一切、为了祖国和民族的尊严而奋不顾身的爱国主义精神，英勇顽强、舍生忘死的革命英雄主义精神，不畏艰难困苦、始终保持高昂士气的革命乐观主义精神，为完成祖国和人民赋予的使命、慷慨奉献自己一切的革命忠诚精神，为了人类和平与正义事业而奋斗的国际主义精神，锻造了伟大抗美援朝精神。,1950年10月-1953年7月,朝鲜半岛,运动事件,彭德怀,中国人民志愿军,,,,,,,,,
《关于镇压反革命活动的指示》,,中共中央发出《关于镇压反革命活动的指示》。到1951年10月底，全国规模的镇压反革命运动基本结束。,1950年10月10日,,文献事件,,,,,,,,,,,
《关于治理淮河的决定》,,政务院作出《关于治理淮河的决定》。1951年，毛泽东题词“一定要把淮河修好”。到1957年冬，治淮工程初见成效。,1950年10月14日,,文献事件,,,,,,,,,,,
《关于加强人民司法工作的指示》,,政务院发出《关于加强人民司法工作的指示》，要求在全国范围内逐步建立和健全人民司法制度。,1950年11月3日,,文献事件,,,,,,,,,,,
《关于积极推进宗教革新运动的指示》,,中共中央发出《关于积极推进宗教革新运动的指示》，强调贯彻党的宗教政策，团结宗教界最大多数，发展和巩固全国宗教界的统一战线。,1951年3月5日,,文献事件,,,,,,,,,,,
1951年全国组织工作会议召开,,中共中央召开第一次全国组织工作会议。会议通过《关于整顿党的基层组织的决议》。整党从1951年下半年开始，到1954年春基本结束。,1951年3月28日－1951年4月9日,北京,会议事件,,,,,,,,,,,
中央人民政府和西藏地方政府签订《关于和平解放西藏办法的协议》,“十七条协议”,中央人民政府和西藏地方政府在北京签订《关于和平解放西藏办法的协议》（“十七条协议”），宣告西藏和平解放。10月26日，人民解放军进藏部队进驻拉萨。,1951年5月23日,北京,文献事件,,,,,,,,,,,
全国第一次互助合作会议,,中共中央召开全国第一次互助合作会议。会议通过《关于农业生产互助合作的决议（草案）》。会后，农业生产互助合作运动很快开展起来。经过一年多的试点，1953年2月15日，中共中央将决议草案通过为正式决议。,1951年9月20日－1951年9月30日,北京,会议事件,,,,,,,,,,,
《关于知识分子的改造问题》报告,,周恩来在北京、天津高等学校教师学习会上作《关于知识分子的改造问题》报告。11月30日，中共中央发出《关于在学校中进行思想改造和组织清理工作的指示》。知识分子思想改造运动广泛开展起来，到1952年秋基本结束。,1951年9月29日,"北京,天津",文献事件,,,,,,,,,,,
《关于在学校中进行思想改造和组织清理工作的指示》,,周恩来在北京、天津高等学校教师学习会上作《关于知识分子的改造问题》报告。11月30日，中共中央发出《关于在学校中进行思想改造和组织清理工作的指示》。知识分子思想改造运动广泛开展起来，到1953年秋基本结束。,1951年11月30日,,文献事件,,,,,,,,,,,
《毛泽东选集》第一卷出版,,《毛泽东选集》第一卷出版。第二至第四卷分别于1952年、1953年、1960年出版。,1951年10月,,文献事件,毛泽东,,,,,,,,,,
《关于实行精兵简政、增产节约、反对贪污、反对浪费和反对官僚主义的决定》,,中共中央作出《关于实行精兵简政、增产节约、反对贪污、反对浪费和反对官僚主义的决定》。“三反”运动在全国展开，到1952年10月结束。运动中抓住重大典型案件严肃处理，先后任天津地委书记的刘青山、张子善被查处并判处死刑。,1951年12月1日,,文献事件,,,,,,,,,,,
